Number of Models: 10
Test Accuracies: [77.85378366823429, 45.16531281174291, 44.80903520022802, 45.15106170728232, 44.999643722388484, 44.80903520022802, 59.38791506341742, 45.16531281174291, 33.62013681060282, 44.26749323072538]
Mean Accuracy: 48.522873022659255
Standard Deviation: 11.983623648579643
Total Time: 6:09:57.085247



Model Config:
|-----------------------|----------------------|
| sort_pooling_k        | 5                    |
| layer_sizes           | [32, 32, 32, 32, 32] |
| batch_size            | 32                   |
| learning_rate         | 0.001                |
| dropout_rate          | 0.2                  |
| sizes_1d_convolutions | [32]                 |
| dense_layer_sizes     | [32]                 |
| epochs                | 100                  |



########## Model 1 ##########

Test Accuracy: 77.85378366823429


|   Epoch |   Train Loss |   Validation Loss |   Train Accuracy |   Validation Accuracy |
|---------|--------------|-------------------|------------------|-----------------------|
|       1 |     1.49843  |          1.41636  |         0.47382  |              0.448125 |
|       2 |     1.36444  |          1.33766  |         0.539177 |              0.524194 |
|       3 |     1.05083  |          0.996882 |         0.654141 |              0.633648 |
|       4 |     0.98173  |          0.966434 |         0.679302 |              0.675016 |
|       5 |     1.04106  |          1.09444  |         0.704889 |              0.700548 |
|       6 |     1.0238   |          0.937238 |         0.748322 |              0.734108 |
|       7 |     0.811794 |          0.807156 |         0.77754  |              0.77517  |
|       8 |     0.796265 |          0.800722 |         0.787334 |              0.7839   |
|       9 |     0.84237  |          0.915085 |         0.745613 |              0.736433 |
|      10 |     0.914695 |          0.867788 |         0.768656 |              0.762711 |
|      11 |     0.850486 |          0.803195 |         0.788047 |              0.783681 |
|      12 |     0.839088 |          0.954186 |         0.719828 |              0.704672 |
|      13 |     1.0431   |          1.22585  |         0.580251 |              0.569906 |
|      14 |     1.07378  |          0.913892 |         0.725937 |              0.717482 |
|      15 |     1.09029  |          1.07028  |         0.652156 |              0.64501  |
|      16 |     1.23937  |          1.309    |         0.521628 |              0.515069 |
|      17 |     1.12602  |          1.15728  |         0.590451 |              0.563676 |
|      18 |     1.1214   |          1.1573   |         0.59032  |              0.564203 |
|      19 |     1.13551  |          1.2859   |         0.54522  |              0.529107 |
|      20 |     1.18966  |          1.14378  |         0.594619 |              0.569248 |
|      21 |     1.1499   |          1.1508   |         0.595486 |              0.579074 |
|      22 |     1.16136  |          1.15556  |         0.566158 |              0.561965 |
|      23 |     1.32879  |          1.24488  |         0.558645 |              0.534898 |
|      24 |     1.11333  |          1.00632  |         0.626952 |              0.610485 |
|      25 |     0.982528 |          1.00145  |         0.626941 |              0.609871 |
|      26 |     0.97531  |          0.997039 |         0.628214 |              0.610748 |
|      27 |     0.972735 |          0.995929 |         0.627709 |              0.611845 |
|      28 |     0.972229 |          0.992395 |         0.613539 |              0.619127 |
|      29 |     0.967618 |          0.986538 |         0.628718 |              0.612371 |
|      30 |     0.979937 |          1.02538  |         0.612003 |              0.587936 |
|      31 |     1.14091  |          1.46413  |         0.449395 |              0.419171 |
|      32 |     1.43298  |          1.46274  |         0.449351 |              0.418995 |
|      33 |     1.34425  |          1.14647  |         0.60721  |              0.585962 |
|      34 |     0.97141  |          0.852832 |         0.762108 |              0.747883 |
|      35 |     0.944164 |          1.01114  |         0.621775 |              0.615968 |
|      36 |     1.11583  |          1.43873  |         0.452323 |              0.421628 |
|      37 |     1.42561  |          1.46487  |         0.449647 |              0.418995 |
|      38 |     1.43244  |          1.4624   |         0.449395 |              0.419171 |
|      39 |     1.43231  |          1.46181  |         0.449384 |              0.419127 |
|      40 |     1.43243  |          1.46456  |         0.449351 |              0.418995 |
|      41 |     1.43191  |          1.46425  |         0.449384 |              0.419127 |
|      42 |     1.43144  |          1.46221  |         0.449384 |              0.419127 |
|      43 |     1.21542  |          1.15424  |         0.601068 |              0.580347 |
|      44 |     1.11533  |          1.13542  |         0.601551 |              0.581399 |
|      45 |     1.10659  |          1.12378  |         0.601573 |              0.581399 |
|      46 |     1.10532  |          1.12243  |         0.601573 |              0.581443 |
|      47 |     1.10264  |          1.11602  |         0.601562 |              0.581399 |
|      48 |     1.09443  |          1.11541  |         0.60551  |              0.585304 |
|      49 |     1.08579  |          1.09931  |         0.606782 |              0.587059 |
|      50 |     1.08158  |          1.08958  |         0.613736 |              0.592674 |
|      51 |     1.07024  |          1.08512  |         0.612716 |              0.591577 |
|      52 |     1.06431  |          1.07842  |         0.61514  |              0.593902 |
|      53 |     1.06182  |          1.07492  |         0.620075 |              0.599561 |
|      54 |     1.06006  |          1.09761  |         0.613407 |              0.592498 |
|      55 |     1.05803  |          1.08548  |         0.612716 |              0.591577 |
|      56 |     1.05846  |          1.06835  |         0.617191 |              0.59649  |
|      57 |     1.05457  |          1.0714   |         0.618134 |              0.597763 |
|      58 |     1.05336  |          1.07208  |         0.618935 |              0.598684 |
|      59 |     1.05042  |          1.06821  |         0.619253 |              0.598421 |
|      60 |     1.05997  |          1.07517  |         0.610884 |              0.59048  |
|      61 |     1.06593  |          1.07727  |         0.612771 |              0.591577 |
|      62 |     1.05912  |          1.08355  |         0.610128 |              0.589647 |
|      63 |     1.06246  |          1.07917  |         0.611323 |              0.591445 |
|      64 |     1.06066  |          1.08061  |         0.609864 |              0.589647 |
|      65 |     1.05962  |          1.08315  |         0.610479 |              0.590305 |
|      66 |     1.11306  |          1.15326  |         0.599631 |              0.579381 |
|      67 |     1.09142  |          1.08061  |         0.609338 |              0.589778 |
|      68 |     1.05859  |          1.07506  |         0.610501 |              0.590349 |
|      69 |     1.07636  |          0.891194 |         0.748125 |              0.735863 |
|      70 |     0.892414 |          0.995074 |         0.683612 |              0.672297 |
|      71 |     1.04498  |          1.07353  |         0.610117 |              0.58991  |
|      72 |     1.05756  |          1.07272  |         0.614065 |              0.594341 |
|      73 |     1.05625  |          1.07418  |         0.611422 |              0.592367 |
|      74 |     1.0593   |          1.07231  |         0.6131   |              0.592279 |
|      75 |     1.05484  |          1.07352  |         0.616072 |              0.595701 |
|      76 |     1.0589   |          1.07134  |         0.61049  |              0.590173 |
|      77 |     1.06014  |          1.07043  |         0.606629 |              0.591182 |
|      78 |     1.05308  |          1.06983  |         0.616182 |              0.595789 |
|      79 |     1.05777  |          1.07161  |         0.613933 |              0.593113 |
|      80 |     1.05231  |          1.07774  |         0.616292 |              0.595613 |
|      81 |     1.05081  |          1.0706   |         0.618606 |              0.598377 |
|      82 |     1.06393  |          1.14151  |         0.599445 |              0.583242 |
|      83 |     1.07507  |          1.1006   |         0.609327 |              0.587497 |
|      84 |     1.04791  |          0.827417 |         0.767033 |              0.754902 |
|      85 |     0.768743 |          0.770762 |         0.791052 |              0.784295 |
|      86 |     0.748994 |          0.773409 |         0.791338 |              0.785304 |
|      87 |     0.757074 |          0.764962 |         0.794145 |              0.787146 |
|      88 |     0.746172 |          0.766993 |         0.787751 |              0.78061  |
|      89 |     0.751453 |          0.787416 |         0.780172 |              0.77324  |
|      90 |     0.797111 |          0.819988 |         0.772813 |              0.766177 |
|      91 |     0.785533 |          0.804215 |         0.779273 |              0.772582 |
|      92 |     0.775552 |          0.79755  |         0.779251 |              0.77245  |
|      93 |     0.771299 |          0.793034 |         0.779668 |              0.772669 |
|      94 |     0.768993 |          0.792257 |         0.783792 |              0.777407 |
|      95 |     0.766138 |          0.792452 |         0.779449 |              0.77245  |
|      96 |     0.76959  |          0.79304  |         0.779229 |              0.772538 |
|      97 |     0.765775 |          0.785599 |         0.782684 |              0.776179 |
|      98 |     0.764517 |          0.786426 |         0.780315 |              0.773591 |
|      99 |     0.76095  |          0.784309 |         0.780556 |              0.773415 |
|     100 |     0.759869 |          0.780555 |         0.790899 |              0.7839   |

########## Model 2 ##########

Test Accuracy: 45.16531281174291


|   Epoch |   Train Loss |   Validation Loss |   Train Accuracy |   Validation Accuracy |
|---------|--------------|-------------------|------------------|-----------------------|
|       1 |     1.40782  |          1.37168  |         0.451215 |              0.421013 |
|       2 |     1.33036  |          1.35532  |         0.422502 |              0.415354 |
|       3 |     1.31943  |          1.34183  |         0.457182 |              0.435095 |
|       4 |     1.31504  |          1.34034  |         0.451314 |              0.421233 |
|       5 |     1.31322  |          1.33808  |         0.456984 |              0.435227 |
|       6 |     1.26349  |          1.2315   |         0.52924  |              0.509805 |
|       7 |     1.17972  |          1.16121  |         0.564666 |              0.549682 |
|       8 |     0.90615  |          0.645057 |         0.783781 |              0.766001 |
|       9 |     0.646689 |          0.612346 |         0.79261  |              0.781531 |
|      10 |     0.571835 |          0.594071 |         0.788212 |              0.776354 |
|      11 |     0.554985 |          0.57569  |         0.796471 |              0.785786 |
|      12 |     0.538307 |          0.564306 |         0.805047 |              0.792674 |
|      13 |     0.54032  |          0.563893 |         0.801285 |              0.787585 |
|      14 |     0.523239 |          0.540035 |         0.809248 |              0.799912 |
|      15 |     0.528107 |          0.560792 |         0.758336 |              0.746436 |
|      16 |     0.530025 |          0.572602 |         0.792171 |              0.781707 |
|      17 |     0.551501 |          0.603796 |         0.783693 |              0.770651 |
|      18 |     0.555535 |          0.558272 |         0.807384 |              0.795218 |
|      19 |     0.519628 |          0.550073 |         0.806901 |              0.796754 |
|      20 |     0.526938 |          0.547124 |         0.80247  |              0.790612 |
|      21 |     0.543435 |          0.726222 |         0.698989 |              0.685457 |
|      22 |     0.612207 |          0.558652 |         0.804005 |              0.792411 |
|      23 |     0.529416 |          0.576342 |         0.788245 |              0.778285 |
|      24 |     0.546909 |          0.568537 |         0.793422 |              0.779294 |
