Number of Models: 10
Test Accuracies: [52.60260795211629, 42.73549950121134, 63.98389625195953, 45.02814593130967, 84.37722673507196, 45.17243836397321, 42.84238278466581, 48.39140658401026, 78.81929599543965, 75.13538549237566]
Mean Accuracy: 57.90882855921334
Standard Deviation: 16.24663070359665
Total Time: 5:10:07.616852



Model Config:
|-----------------------|----------------------|
| sort_pooling_k        | 5                    |
| layer_sizes           | [32, 32, 32, 32, 32] |
| batch_size            | 32                   |
| learning_rate         | 0.0001               |
| dropout_rate          | 0.2                  |
| sizes_1d_convolutions | [32]                 |
| dense_layer_sizes     | [32]                 |
| epochs                | 100                  |



########## Model 1 ##########

Test Accuracy: 52.60260795211629


|   Epoch |   Train Loss |   Validation Loss |   Train Accuracy |   Validation Accuracy |
|---------|--------------|-------------------|------------------|-----------------------|
|       1 |      1.79622 |          1.75501  |         0.389686 |              0.364422 |
|       2 |      1.44719 |          1.3389   |         0.596111 |              0.578416 |
|       3 |      1.28057 |          1.29399  |         0.615612 |              0.594429 |
|       4 |      1.2543  |          1.33223  |         0.602659 |              0.585699 |
|       5 |      1.29021 |          1.32453  |         0.617586 |              0.596315 |
|       6 |      1.299   |          1.43596  |         0.550627 |              0.52766  |
|       7 |      1.38833 |          1.42459  |         0.544288 |              0.527528 |
|       8 |      1.40766 |          1.4791   |         0.527694 |              0.515596 |
|       9 |      1.43205 |          1.47133  |         0.507173 |              0.498136 |
|      10 |      1.42619 |          1.46759  |         0.513074 |              0.481553 |
|      11 |      1.41713 |          1.45771  |         0.512481 |              0.479272 |
|      12 |      1.4161  |          1.58211  |         0.425934 |              0.412371 |
|      13 |      1.45236 |          1.47684  |         0.506943 |              0.493485 |
|      14 |      1.44355 |          1.4799   |         0.499857 |              0.473306 |
|      15 |      1.44768 |          1.49547  |         0.502029 |              0.485852 |
|      16 |      1.44833 |          1.49333  |         0.50204  |              0.485808 |
|      17 |      1.43774 |          1.48661  |         0.490984 |              0.475674 |
|      18 |      1.41835 |          1.37598  |         0.538541 |              0.5195   |
|      19 |      1.36605 |          1.40213  |         0.524425 |              0.509147 |
|      20 |      1.35591 |          1.38379  |         0.526103 |              0.507129 |
|      21 |      1.35152 |          1.35937  |         0.552744 |              0.538627 |
