Number of Models: 10
Test Accuracies: [82.8370084110025, 83.24619231643555, 82.08683791770856, 82.63241645828597, 82.76881109343033, 82.88247328938395, 82.8370084110025, 82.90520572857467, 82.90520572857467, 83.22345987724484]
Mean Accuracy: 82.83246192316436
Standard Deviation: 0.32269745245237236
Total Time: 0:24:01.588318



########## Model 1 ##########

Test Accuracy: 82.8370084110025


|   Epoch |   Train Loss |   Validation Loss |   Train Accuracy |   Validation Accuracy |
|---------|--------------|-------------------|------------------|-----------------------|
|       1 |     1.66317  |          0.898029 |         0.737085 |              0.764838 |
|       2 |     0.789878 |          0.691776 |         0.767745 |              0.788354 |
|       3 |     0.680188 |          0.624055 |         0.796164 |              0.807391 |
|       4 |     0.628463 |          0.607754 |         0.793644 |              0.807391 |
|       5 |     0.616805 |          0.590778 |         0.809604 |              0.821389 |
|       6 |     0.609643 |          0.581578 |         0.812544 |              0.824188 |
|       7 |     0.596002 |          0.575849 |         0.808064 |              0.822508 |
|       8 |     0.59436  |          0.56691  |         0.812964 |              0.824748 |
|       9 |     0.580554 |          0.56452  |         0.813664 |              0.828667 |
|      10 |     0.578281 |          0.564496 |         0.819124 |              0.833147 |
|      11 |     0.574105 |          0.562502 |         0.819404 |              0.832027 |
|      12 |     0.569059 |          0.559489 |         0.822764 |              0.832587 |
|      13 |     0.560569 |          0.563252 |         0.821504 |              0.832027 |
|      14 |     0.561709 |          0.549793 |         0.825003 |              0.832027 |
|      15 |     0.554796 |          0.558124 |         0.824164 |              0.832027 |
|      16 |     0.55223  |          0.557424 |         0.827943 |              0.834267 |
|      17 |     0.550399 |          0.557088 |         0.826683 |              0.832027 |
|      18 |     0.549786 |          0.54777  |         0.825003 |              0.833147 |
|      19 |     0.544276 |          0.553629 |         0.828503 |              0.835386 |
|      20 |     0.545486 |          0.548616 |         0.827803 |              0.832027 |
|      21 |     0.542062 |          0.543624 |         0.826123 |              0.835386 |
|      22 |     0.547798 |          0.548167 |         0.828083 |              0.831467 |
|      23 |     0.540594 |          0.542514 |         0.828923 |              0.837066 |
|      24 |     0.5406   |          0.555881 |         0.827243 |              0.834826 |
|      25 |     0.533021 |          0.559453 |         0.830323 |              0.834826 |
|      26 |     0.534684 |          0.544508 |         0.829343 |              0.834267 |
|      27 |     0.536087 |          0.585226 |         0.805964 |              0.81523  |
|      28 |     0.549454 |          0.547865 |         0.829343 |              0.833147 |
|      29 |     0.53444  |          0.544428 |         0.829483 |              0.835386 |
|      30 |     0.533179 |          0.540507 |         0.829763 |              0.838186 |
|      31 |     0.531436 |          0.538411 |         0.830743 |              0.838746 |
|      32 |     0.530541 |          0.547362 |         0.830043 |              0.839306 |
|      33 |     0.53341  |          0.534892 |         0.830323 |              0.835386 |
|      34 |     0.527809 |          0.53942  |         0.829903 |              0.833707 |
|      35 |     0.528526 |          0.538451 |         0.830743 |              0.837066 |
|      36 |     0.524405 |          0.540348 |         0.829483 |              0.835946 |
|      37 |     0.526121 |          0.540562 |         0.830323 |              0.836506 |
|      38 |     0.525913 |          0.55333  |         0.831163 |              0.835946 |
|      39 |     0.527122 |          0.542741 |         0.831443 |              0.836506 |
|      40 |     0.525456 |          0.543799 |         0.829763 |              0.835386 |
|      41 |     0.52871  |          0.54309  |         0.831163 |              0.834267 |
|      42 |     0.525379 |          0.540083 |         0.831443 |              0.837066 |
|      43 |     0.523052 |          0.531738 |         0.829203 |              0.837066 |
|      44 |     0.521879 |          0.541652 |         0.831023 |              0.835386 |
|      45 |     0.522718 |          0.545602 |         0.832843 |              0.839306 |
|      46 |     0.519926 |          0.538433 |         0.832843 |              0.837626 |
|      47 |     0.519107 |          0.549328 |         0.831863 |              0.836506 |
|      48 |     0.52064  |          0.541243 |         0.831163 |              0.838186 |
|      49 |     0.522673 |          0.544584 |         0.831443 |              0.838186 |
|      50 |     0.521464 |          0.535356 |         0.830743 |              0.833707 |
|      51 |     0.519563 |          0.548565 |         0.832143 |              0.834826 |
|      52 |     0.526145 |          0.542821 |         0.829343 |              0.833707 |
|      53 |     0.520624 |          0.548157 |         0.832703 |              0.836506 |
|      54 |     0.522158 |          0.535062 |         0.833403 |              0.840426 |
|      55 |     0.518188 |          0.542698 |         0.831163 |              0.837626 |
|      56 |     0.518712 |          0.547992 |         0.832283 |              0.835386 |
|      57 |     0.519778 |          0.535578 |         0.832563 |              0.838186 |
|      58 |     0.518449 |          0.538406 |         0.832703 |              0.837066 |
|      59 |     0.517377 |          0.550236 |         0.833683 |              0.839306 |
|      60 |     0.517925 |          0.54146  |         0.833543 |              0.838186 |
|      61 |     0.516697 |          0.539765 |         0.833263 |              0.837066 |
|      62 |     0.52543  |          0.541774 |         0.832003 |              0.838186 |
|      63 |     0.512491 |          0.542012 |         0.833823 |              0.839866 |
|      64 |     0.517207 |          0.531593 |         0.833963 |              0.839306 |
|      65 |     0.521196 |          0.540687 |         0.832143 |              0.834826 |
|      66 |     0.518052 |          0.541557 |         0.829483 |              0.833147 |
|      67 |     0.513954 |          0.548468 |         0.833543 |              0.837066 |
|      68 |     0.515696 |          0.544866 |         0.833123 |              0.837626 |
|      69 |     0.516336 |          0.53425  |         0.832703 |              0.836506 |
|      70 |     0.515549 |          0.546231 |         0.832843 |              0.835946 |
|      71 |     0.51616  |          0.54298  |         0.833963 |              0.838186 |
|      72 |     0.512727 |          0.548178 |         0.833263 |              0.837626 |
|      73 |     0.515358 |          0.537838 |         0.833403 |              0.835946 |
|      74 |     0.512329 |          0.550941 |         0.832563 |              0.838746 |
|      75 |     0.51476  |          0.540268 |         0.834243 |              0.839306 |
|      76 |     0.514822 |          0.538258 |         0.832003 |              0.834267 |
|      77 |     0.517901 |          0.540696 |         0.832703 |              0.833147 |
|      78 |     0.511681 |          0.553304 |         0.833123 |              0.837066 |
|      79 |     0.513071 |          0.549376 |         0.833403 |              0.833707 |
|      80 |     0.516671 |          0.541956 |         0.833403 |              0.836506 |
|      81 |     0.51333  |          0.545273 |         0.833823 |              0.837066 |
|      82 |     0.509687 |          0.543248 |         0.833683 |              0.839306 |
|      83 |     0.508013 |          0.547434 |         0.834243 |              0.839866 |
|      84 |     0.511319 |          0.549471 |         0.833263 |              0.837066 |
|      85 |     0.511333 |          0.540956 |         0.834523 |              0.839866 |
|      86 |     0.510868 |          0.543013 |         0.833683 |              0.835386 |
|      87 |     0.510509 |          0.537158 |         0.834663 |              0.837066 |
|      88 |     0.512434 |          0.549981 |         0.834523 |              0.838746 |
|      89 |     0.514253 |          0.549114 |         0.832983 |              0.834826 |
|      90 |     0.511784 |          0.549787 |         0.833403 |              0.835386 |
|      91 |     0.509836 |          0.549228 |         0.834383 |              0.837626 |
|      92 |     0.511948 |          0.541361 |         0.834103 |              0.840985 |
|      93 |     0.511342 |          0.55352  |         0.833543 |              0.836506 |
|      94 |     0.512509 |          0.535056 |         0.833263 |              0.837066 |
