Number of Models: 10
Test Accuracies: [82.0110497237569, 82.40883977900553, 81.87845303867404, 82.32044198895028, 82.05524861878453, 82.29834254143647, 82.23204419889503, 82.25414364640883, 81.90055248618785, 82.05524861878453]
Mean Accuracy: 82.1414364640884
Standard Deviation: 0.1850292657585375
Total Time: 0:26:27.800089



########## Model 1 ##########

Test Accuracy: 82.0110497237569


|   Epoch |   Train Loss |   Validation Loss |   Train Accuracy |   Validation Accuracy |
|---------|--------------|-------------------|------------------|-----------------------|
|       1 |     1.31776  |          0.980316 |         0.729314 |              0.748503 |
|       2 |     0.992367 |          0.903876 |         0.749047 |              0.767011 |
|       3 |     0.932049 |          0.853089 |         0.776402 |              0.788786 |
|       4 |     0.865772 |          0.838199 |         0.79423  |              0.804028 |
|       5 |     0.852738 |          0.8261   |         0.795318 |              0.805117 |
|       6 |     0.854076 |          0.820945 |         0.795046 |              0.80675  |
|       7 |     0.848484 |          0.804422 |         0.800354 |              0.809472 |
|       8 |     0.840514 |          0.80886  |         0.800082 |              0.807839 |
|       9 |     0.820705 |          0.815231 |         0.798176 |              0.802395 |
|      10 |     0.810333 |          0.836381 |         0.801715 |              0.805117 |
|      11 |     0.821249 |          0.793906 |         0.804845 |              0.808928 |
|      12 |     0.795246 |          0.78281  |         0.803348 |              0.807295 |
|      13 |     0.79076  |          0.781764 |         0.803756 |              0.811649 |
|      14 |     0.788546 |          0.786345 |         0.807295 |              0.812738 |
|      15 |     0.7887   |          0.781742 |         0.804709 |              0.811649 |
|      16 |     0.795322 |          0.790147 |         0.807567 |              0.813827 |
|      17 |     0.79136  |          0.765871 |         0.815868 |              0.824714 |
|      18 |     0.779677 |          0.767076 |         0.817501 |              0.821448 |
|      19 |     0.775284 |          0.770756 |         0.81791  |              0.825803 |
|      20 |     0.775588 |          0.781481 |         0.809336 |              0.814371 |
|      21 |     0.769452 |          0.758015 |         0.817365 |              0.823625 |
|      22 |     0.769735 |          0.774913 |         0.818726 |              0.821992 |
|      23 |     0.771073 |          0.770571 |         0.820359 |              0.825259 |
|      24 |     0.767642 |          0.767715 |         0.820495 |              0.826347 |
|      25 |     0.764724 |          0.782358 |         0.812058 |              0.813827 |
|      26 |     0.761604 |          0.777324 |         0.818454 |              0.821448 |
|      27 |     0.764317 |          0.779755 |         0.820768 |              0.821448 |
|      28 |     0.763363 |          0.769524 |         0.822128 |              0.825803 |
|      29 |     0.756492 |          0.761521 |         0.822673 |              0.826347 |
|      30 |     0.757452 |          0.774123 |         0.82172  |              0.822537 |
|      31 |     0.760438 |          0.767814 |         0.821992 |              0.825803 |
|      32 |     0.756502 |          0.767805 |         0.822673 |              0.825803 |
|      33 |     0.753886 |          0.767258 |         0.822128 |              0.825803 |
|      34 |     0.752802 |          0.778252 |         0.822265 |              0.825803 |
|      35 |     0.756761 |          0.760595 |         0.822401 |              0.823625 |
|      36 |     0.749713 |          0.778083 |         0.81546  |              0.817637 |
|      37 |     0.754919 |          0.767605 |         0.823081 |              0.826347 |
|      38 |     0.751709 |          0.769912 |         0.823625 |              0.825803 |
|      39 |     0.75428  |          0.775018 |         0.81546  |              0.814916 |
|      40 |     0.756981 |          0.763065 |         0.822673 |              0.823081 |
|      41 |     0.756983 |          0.770043 |         0.821856 |              0.822537 |
|      42 |     0.751523 |          0.767098 |         0.821856 |              0.821992 |
|      43 |     0.750453 |          0.775771 |         0.823625 |              0.824714 |
|      44 |     0.748294 |          0.771204 |         0.823762 |              0.824714 |
|      45 |     0.748716 |          0.770862 |         0.823353 |              0.822537 |
|      46 |     0.748835 |          0.762971 |         0.823489 |              0.825803 |
|      47 |     0.746223 |          0.782665 |         0.823217 |              0.82417  |
|      48 |     0.747541 |          0.775684 |         0.823353 |              0.825259 |
|      49 |     0.74648  |          0.770562 |         0.822945 |              0.822537 |
|      50 |     0.745301 |          0.767589 |         0.822945 |              0.821992 |
|      51 |     0.749248 |          0.785892 |         0.823489 |              0.825803 |
|      52 |     0.747613 |          0.766384 |         0.823489 |              0.822537 |
|      53 |     0.754581 |          0.770081 |         0.824034 |              0.825259 |
|      54 |     0.744945 |          0.778794 |         0.821584 |              0.82417  |
|      55 |     0.745782 |          0.768039 |         0.824034 |              0.825803 |
|      56 |     0.743898 |          0.772042 |         0.823762 |              0.822537 |
|      57 |     0.748596 |          0.762599 |         0.824714 |              0.825803 |
|      58 |     0.742514 |          0.769772 |         0.824714 |              0.826347 |
|      59 |     0.742944 |          0.777459 |         0.824442 |              0.825259 |
|      60 |     0.741723 |          0.773746 |         0.824034 |              0.821992 |
|      61 |     0.742508 |          0.774933 |         0.823762 |              0.825259 |
|      62 |     0.741028 |          0.766879 |         0.82485  |              0.825803 |
|      63 |     0.743028 |          0.774275 |         0.824714 |              0.825803 |
|      64 |     0.741375 |          0.775023 |         0.82417  |              0.821992 |
|      65 |     0.741454 |          0.778198 |         0.82417  |              0.823081 |
|      66 |     0.73955  |          0.77558  |         0.824034 |              0.823081 |
|      67 |     0.742827 |          0.777803 |         0.824714 |              0.825259 |
|      68 |     0.741783 |          0.778363 |         0.82485  |              0.824714 |
|      69 |     0.739584 |          0.764195 |         0.824578 |              0.825259 |
|      70 |     0.741065 |          0.776311 |         0.82417  |              0.821992 |
|      71 |     0.74453  |          0.80352  |         0.820359 |              0.81546  |
|      72 |     0.752294 |          0.772991 |         0.823625 |              0.82417  |
|      73 |     0.743931 |          0.773393 |         0.823217 |              0.821992 |
|      74 |     0.742072 |          0.779607 |         0.824578 |              0.824714 |
|      75 |     0.739596 |          0.774435 |         0.824306 |              0.823081 |
