Number of Models: 10
Test Accuracies: [89.48058761804828, 77.5183630640084, 81.71563483735572, 82.0828961175236, 88.45750262329486, 87.1196222455404, 77.88562434417628, 77.20356768100734, 77.25603357817418, 75.7607555089192]
Mean Accuracy: 81.44805876180483
Standard Deviation: 5.189334319018197
Total Time: 0:37:27.124908



########## Model 1 ##########

Test Accuracy: 89.48058761804828


|   Epoch |   Train Loss |   Validation Loss |   Train Accuracy |   Validation Accuracy |
|---------|--------------|-------------------|------------------|-----------------------|
|       1 |     1.90932  |          0.804418 |         0.680291 |              0.687339 |
|       2 |     0.592557 |          0.509418 |         0.766074 |              0.76938  |
|       3 |     0.501636 |          0.48815  |         0.771567 |              0.77584  |
|       4 |     0.484895 |          0.519886 |         0.755897 |              0.760982 |
|       5 |     0.487574 |          0.505931 |         0.772859 |              0.760982 |
|       6 |     0.48     |          0.479179 |         0.774475 |              0.77584  |
|       7 |     0.469218 |          0.457305 |         0.810016 |              0.810078 |
|       8 |     0.440197 |          0.405367 |         0.808078 |              0.808786 |
|       9 |     0.419795 |          0.37658  |         0.851858 |              0.845607 |
|      10 |     0.419932 |          0.600981 |         0.784653 |              0.795866 |
|      11 |     0.414966 |          0.343606 |         0.85525  |              0.854005 |
|      12 |     0.351881 |          0.31292  |         0.871729 |              0.872093 |
|      13 |     0.328558 |          0.370795 |         0.847173 |              0.852713 |
|      14 |     0.398857 |          0.354082 |         0.858966 |              0.858527 |
|      15 |     0.325074 |          0.299904 |         0.87399  |              0.868217 |
|      16 |     0.300912 |          0.281887 |         0.884168 |              0.893411 |
|      17 |     0.306168 |          0.286258 |         0.889176 |              0.898579 |
|      18 |     0.330282 |          0.32828  |         0.871244 |              0.866279 |
|      19 |     0.332528 |          0.317856 |         0.870598 |              0.865633 |
|      20 |     0.300738 |          0.280045 |         0.887076 |              0.886305 |
|      21 |     0.295194 |          0.292451 |         0.877706 |              0.885013 |
|      22 |     0.287292 |          0.272546 |         0.895315 |              0.898579 |
|      23 |     0.27983  |          0.27955  |         0.891115 |              0.886305 |
