Number of Models: 10
Test Accuracies: [80.71878279118573, 74.31794333683106, 70.85519412381952, 66.2906610703043, 79.74816369359917, 75.65582371458552, 79.74816369359917, 75.1311647429171, 78.09548793284365, 71.79958027282267]
Mean Accuracy: 75.23609653725079
Standard Deviation: 4.606835746153762
Total Time: 0:20:56.096788



########## Model 1 ##########

Test Accuracy: 80.71878279118573


|   Epoch |   Train Loss |   Validation Loss |   Train Accuracy |   Validation Accuracy |
|---------|--------------|-------------------|------------------|-----------------------|
|       1 |     1.38577  |          0.665514 |         0.694184 |              0.697028 |
|       2 |     0.639296 |          0.601197 |         0.726979 |              0.722868 |
|       3 |     0.561776 |          0.486617 |         0.810178 |              0.812016 |
|       4 |     0.467379 |          0.441181 |         0.795638 |              0.793928 |
|       5 |     0.454498 |          0.446129 |         0.785137 |              0.777132 |
|       6 |     0.436511 |          0.433516 |         0.798384 |              0.802326 |
|       7 |     0.427479 |          0.424452 |         0.785137 |              0.777132 |
|       8 |     0.427647 |          0.428002 |         0.795638 |              0.793928 |
|       9 |     0.423456 |          0.39888  |         0.821648 |              0.819767 |
|      10 |     0.417431 |          0.415195 |         0.824879 |              0.828811 |
|      11 |     0.411038 |          0.39449  |         0.821809 |              0.821705 |
|      12 |     0.419116 |          0.407218 |         0.821648 |              0.819767 |
|      13 |     0.414631 |          0.404348 |         0.824394 |              0.828165 |
|      14 |     0.410661 |          0.410735 |         0.822132 |              0.820413 |
|      15 |     0.407387 |          0.40694  |         0.795638 |              0.793928 |
|      16 |     0.434433 |          0.418086 |         0.821809 |              0.821705 |
|      17 |     0.43261  |          0.421062 |         0.822132 |              0.820413 |
|      18 |     0.409872 |          0.40182  |         0.824879 |              0.828811 |
|      19 |     0.408468 |          0.404049 |         0.824879 |              0.828811 |
|      20 |     0.416158 |          0.423985 |         0.822294 |              0.826873 |
|      21 |     0.407429 |          0.411519 |         0.824879 |              0.828811 |
|      22 |     0.407293 |          0.403783 |         0.824879 |              0.828811 |
|      23 |     0.40849  |          0.40313  |         0.821648 |              0.819767 |
|      24 |     0.407085 |          0.398192 |         0.824879 |              0.828811 |
|      25 |     0.406259 |          0.402747 |         0.824879 |              0.828811 |
|      26 |     0.404691 |          0.402271 |         0.822132 |              0.820413 |
|      27 |     0.406181 |          0.393817 |         0.824394 |              0.828165 |
|      28 |     0.40849  |          0.396012 |         0.824879 |              0.828811 |
|      29 |     0.402028 |          0.399352 |         0.824879 |              0.828811 |
|      30 |     0.404487 |          0.407863 |         0.824879 |              0.828811 |
|      31 |     0.407228 |          0.397852 |         0.824394 |              0.828165 |
|      32 |     0.404582 |          0.397503 |         0.825202 |              0.827519 |
|      33 |     0.402597 |          0.399913 |         0.824394 |              0.828165 |
|      34 |     0.404196 |          0.410202 |         0.822132 |              0.820413 |
|      35 |     0.40336  |          0.395214 |         0.825202 |              0.827519 |
|      36 |     0.403535 |          0.397895 |         0.798384 |              0.802326 |
|      37 |     0.405886 |          0.404394 |         0.824879 |              0.828811 |
|      38 |     0.404853 |          0.392547 |         0.825202 |              0.827519 |
|      39 |     0.404333 |          0.40004  |         0.824394 |              0.828165 |
|      40 |     0.403586 |          0.400925 |         0.824879 |              0.828811 |
|      41 |     0.403077 |          0.395515 |         0.824879 |              0.828811 |
|      42 |     0.402685 |          0.401597 |         0.822132 |              0.820413 |
|      43 |     0.405665 |          0.402444 |         0.798384 |              0.802326 |
|      44 |     0.401971 |          0.396514 |         0.825202 |              0.827519 |
|      45 |     0.403465 |          0.400567 |         0.824394 |              0.828165 |
|      46 |     0.402002 |          0.40058  |         0.822132 |              0.820413 |
|      47 |     0.403544 |          0.394928 |         0.824879 |              0.828811 |
|      48 |     0.418312 |          0.473369 |         0.798384 |              0.799742 |
|      49 |     0.419404 |          0.397277 |         0.821809 |              0.821705 |
|      50 |     0.405357 |          0.399368 |         0.824394 |              0.828165 |
|      51 |     0.403609 |          0.40112  |         0.824879 |              0.828811 |
|      52 |     0.403481 |          0.410866 |         0.824879 |              0.828811 |
|      53 |     0.405458 |          0.403329 |         0.821648 |              0.819767 |
|      54 |     0.402221 |          0.394401 |         0.824879 |              0.828811 |
|      55 |     0.401769 |          0.395482 |         0.824879 |              0.828811 |
|      56 |     0.402773 |          0.40515  |         0.821648 |              0.819767 |
|      57 |     0.402198 |          0.396894 |         0.824879 |              0.828811 |
|      58 |     0.41536  |          0.40555  |         0.824879 |              0.828811 |
|      59 |     0.405837 |          0.406067 |         0.795638 |              0.793928 |
|      60 |     0.413227 |          0.440603 |         0.811147 |              0.813953 |
|      61 |     0.433715 |          0.435994 |         0.810339 |              0.814599 |
|      62 |     0.430885 |          0.430784 |         0.808078 |              0.806848 |
|      63 |     0.437003 |          0.432742 |         0.810824 |              0.815245 |
|      64 |     0.436491 |          0.427267 |         0.811147 |              0.813953 |
|      65 |     0.436782 |          0.429095 |         0.810339 |              0.814599 |
|      66 |     0.436331 |          0.431816 |         0.811147 |              0.813953 |
|      67 |     0.435687 |          0.430204 |         0.811147 |              0.813953 |
|      68 |     0.437846 |          0.430702 |         0.808078 |              0.806848 |
|      69 |     0.446735 |          0.400318 |         0.824879 |              0.828811 |
